Percent,NDMI,Dist_roads,Elevation,TCWcv,SnowDepth,SnowDepth_cv,MAT,MATcv,MAP,MAPcv,Slope,NDWIcv,LSWIcv
40,-0.022323119,1170,1109.3268,-0.287681127,0.0651,1.648169851,5.7231868,1.9952853,514.5800016,0.007053523,2.5564778,0.840447162,383.4486189
55,-0.016062414,1170,1109.8457,-0.277070321,0.0651,1.648169851,5.7231868,1.9952853,514.5800016,0.007053523,2.6731896,0.724889961,383.4486189
65,-0.016062414,1170,1109.8219,-0.290630341,0.0651,1.648169851,5.7231868,1.9952853,514.5800016,0.007053523,2.6226487,0.742418195,383.4486189
20,-0.013229572,1171.5375,1109.3428,-0.26253484,0.0651,1.648169851,5.7231868,1.9952853,514.5800016,0.007053523,2.774613,0.728446591,377.723665
20,-0.033166308,1171.5375,1109.3121,-0.273658948,0.0651,1.648169851,5.7231868,1.9952853,514.5800016,0.007053523,2.729387,0.684522186,377.723665
55,-0.030216511,1171.5375,1109.7509,-0.281588623,0.0651,1.648169851,5.7231868,1.9952853,514.5800016,0.007053523,2.7487435,0.747753743,377.723665
40,-0.019206146,2881.406,1131.0011,-0.174507922,0.06584445,1.661693218,5.71375,1.998636816,513.7900005,0.007126786,2.126987,0.509524005,307.948252
65,-0.00887199,2881.406,1131.0536,-0.17363452,0.06584445,1.661693218,5.71375,1.998636816,513.7900005,0.007126786,1.7779878,0.487294587,307.948252
65,-0.000864,1978.4084,1127.6047,-0.232062472,0.06207778,1.635225389,5.6632693,2.010293131,515.4600002,0.007114815,7.712632,0.487683311,276.9211014
15.1113,-0.05028854,30,1007.35516,-0.224843107,0.023977779,1.612627902,8.7019369,1.220618119,866.3499983,0.008483278,9.629722,0.713367965,187.7936689
0.0501,-0.05028854,30,1006.2891,-0.224843107,0.023977779,1.612627902,8.7019369,1.220618119,866.3499983,0.008483278,8.860388,0.713367965,187.7936689
55,-0.025301674,1203.3702,1112.0936,-0.257568912,0.0651,1.648169851,5.7231868,1.9952853,514.5800016,0.007053523,5.2108917,0.774108625,176.190171
40,-0.025974026,416.77332,1207.6165,-0.157582647,0.060355555,1.62744965,5.48446425,2.064279955,544.8199986,0.006852526,0.55931085,0.502994339,145.662428
55,0.000903,391.15213,1207.544,-0.176371536,0.060355555,1.62744965,5.48446425,2.064279955,544.8199986,0.006852526,0.47481444,0.492038049,145.662428
8,-0.042874932,2940.153,957.6272,-0.38397943,0.040633332,1.251112612,8.02875025,1.484886365,244.8100011,0.00954779,3.9037435,1.308940817,101.2292613
40,-0.03199215,1934.9419,1125.4949,-0.198994449,0.06207778,1.635225389,5.6632693,2.010293131,515.4600002,0.007114815,4.7888584,0.553125822,74.34397756
65,0.011769931,1328.4954,1113.8534,-0.228402762,0.06536666,1.671567104,5.7231868,1.9952853,514.5800016,0.007053523,8.140889,0.642639043,65.29155769
40,-0.009341536,2436.473,1111.7817,-0.249398875,0.06542222,1.679991115,5.7265247,1.99320067,513.270001,0.00709913,2.6910467,0.56209354,50.4829449
55,-0.000776,390,1146.8546,-0.210887641,0.062288888,1.621311433,5.6392997,2.017708302,532.2700031,0.006833568,2.4355032,0.600047166,50.42838881
55,0.05468103,3001.3496,1120.041,-0.308375438,0.06542222,1.679991115,5.68193715,2.003649093,516.9999985,0.007144631,1.4802737,0.502344343,48.22160596
40,-0.028037382,2794.0293,1124.7427,-0.192647386,0.06584445,1.661693218,5.71375,1.998636816,513.7900005,0.007126786,3.5144093,0.551546778,47.87849422
20,-0.046973366,1204.8651,1111.8805,-0.251075022,0.0651,1.648169851,5.7231868,1.9952853,514.5800016,0.007053523,3.0452526,0.710723359,47.09581367
55,-0.05162524,458.91174,1142.7109,-0.231867313,0.06284445,1.625723781,5.6392997,2.017708302,532.2700031,0.006833568,2.7335215,0.977275047,45.89171501
75,-0.008804109,436.80658,1142.9365,-0.269050936,0.06284445,1.625723781,5.6392997,2.017708302,532.2700031,0.006833568,2.584915,0.934536514,45.89171501
40,0.012378426,2670.674,1123.9705,-0.252061525,0.06584445,1.661693218,5.71375,1.998636816,513.7900005,0.007126786,2.6540904,0.495780732,45.77661302
55,-0.022287535,844.8077,1102.8403,-0.240021583,0.0651,1.648169851,5.78392855,1.979569732,511.2600015,0.007056813,4.3892355,0.609740074,44.6077093
20,-0.029389601,2200.4546,989.3947,-0.108692709,0.03658889,1.19015287,6.09421737,1.911210725,667.1099998,0.007141828,1.0902336,0.718444462,42.04994284
65,0.019520853,842.14014,1149.5057,-0.185883261,0.06061111,1.617259357,5.54024715,2.044115612,525.6099971,0.007096902,7.0780315,0.45632556,40.99174561
65,0.020507166,240,1198.7567,-0.240888699,0.061533332,1.630146158,5.46045315,2.069410917,555.4199979,0.006712156,0.7095092,0.536222777,40.01201581
